id,title,genres,tagline,overview
1,Inception,Action Science Fiction Adventure,Your mind is the scene of the crime,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project."
2,Interstellar,Adventure Science Fiction Drama,Mankind was born on Earth. It was never meant to die here.,"The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage."
3,The Dark Knight,Action Crime Drama,Why So Serious?,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,The Matrix,Action Science Fiction,Free your mind,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the world."
5,Avatar,Action Adventure Fantasy Science Fiction,Enter the World,"A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home."
6,The Avengers,Action Adventure Science Fiction,Some assembly required,"Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity."
7,Titanic,Drama Romance,Nothing on Earth could come between them.,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
8,The Notebook,Romance Drama,Behind every great love is a great story.,"An elderly man reads to a woman with Alzheimer's from a notebook that tells the story of two young lovers separated by social class and war."
9,Pride & Prejudice,Romance Drama,A romance ahead of its time.,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class."
10,La La Land,Comedy Romance Drama Musical,Here's to the fools who dream.,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
11,Gladiator,Action Adventure Drama,A hero will rise.,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
12,Braveheart,Action Drama History,Every man dies. Not every man really lives.,"Enraged by the killing of his bride, Scottish warrior William Wallace begins a revolt against King Edward I of England in a bid for independence."
13,The Godfather,Drama Crime,An offer you can't refuse.,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
14,Pulp Fiction,Thriller Crime,Just because you are a character doesn't mean you have character.,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
15,Se7en,Thriller Crime Mystery,Seven deadly sins. Seven ways to die.,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
16,The Silence of the Lambs,Thriller Crime Horror,To enter the mind of a killer she must challenge the mind of a madman.,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
17,Finding Nemo,Animation Family,There are 3.7 trillion fish in the ocean. They're looking for one.,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid ocellaris clownfish embarks on a journey to bring him home."
18,Toy Story,Animation Comedy Family,Hang on for the ride of your life!,"A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's room."
19,Spirited Away,Animation Family Fantasy,Nothing that happens is ever forgotten, even if you can't remember it.,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
20,The Lion King,Animation Family Drama,Life's greatest adventure is finding your place in the Circle of Life.,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince flees to exile."
21,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Action,One Ring to rule them all.,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
22,Harry Potter and the Philosopher's Stone,Adventure Fantasy Family,Let the magic begin.,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry."
23,Star Wars: A New Hope,Adventure Science Fiction Fantasy,A long time ago in a galaxy far, far away... ,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
24,Jurassic Park,Adventure Science Fiction,An adventure 65 million years in the making.,"A pragmatic paleontologist visiting a brand new theme park on a secluded island is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose."
25,Back to the Future,Adventure Comedy Science Fiction,He's the only kid ever to get into trouble before he was born.,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
26,The Terminator,Action Science Fiction,Your future is in his hands.,"A human soldier is sent from 2029 to 1984 to protect an innocent woman who is targeted by an indestructible cyborg assassin from that same future."
27,Alien,Horror Science Fiction,In space no one can hear you scream.,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has only just begun."
28,Blade Runner 2049,Science Fiction Thriller Drama,There's still a page left in the story.,"A new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. His discovery leads him on a quest to find Rick Deckard, a former blade runner who has been missing for thirty years."
29,Arrival,Science Fiction Drama Mystery,Why are they here?,"Taking place after mysterious spacecraft touch down across the globe, an elite team, led by expert linguist Louise Banks, is brought together to investigate."
30,Shutter Island,Drama Thriller Mystery,Someone is missing.,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane on Shutter Island."
